
ID,travelRequest_ID,documentName,documentURL,UploadedDate
550e8400-e29b-41d4-a716-446655440501,550e8400-e29b-41d4-a716-446655440401,FlightTicket,ticket1.pdf,2026-05-20T10:00:00
550e8400-e29b-41d4-a716-446655440502,550e8400-e29b-41d4-a716-446655440402,HotelBooking,hotel1.pdf,2026-05-21T11:00:00
550e8400-e29b-41d4-a716-446655440503,550e8400-e29b-41d4-a716-446655440403,ConferencePass,conference.pdf,2026-06-10T14:00:00
550e8400-e29b-41d4-a716-446655440504,550e8400-e29b-41d4-a716-446655440404,TravelApproval,approval.pdf,2026-07-25T09:00:00
550e8400-e29b-41d4-a716-446655440505,550e8400-e29b-41d4-a716-446655440405,CabReceipt,cab.pdf,2026-08-20T15:00:00
550e8400-e29b-41d4-a716-446655440506,550e8400-e29b-41d4-a716-446655440406,MeetingAgenda,agenda.pdf,2026-09-15T10:30:00
550e8400-e29b-41d4-a716-446655440507,550e8400-e29b-41d4-a716-446655440407,AuditReport,audit.pdf,2026-10-25T13:00:00
550e8400-e29b-41d4-a716-446655440508,550e8400-e29b-41d4-a716-446655440408,DeploymentPlan,deploy.pdf,2026-11-20T16:00:00
550e8400-e29b-41d4-a716-446655440509,550e8400-e29b-41d4-a716-446655440409,ClientLetter,client.pdf,2026-12-15T12:00:00
550e8400-e29b-41d4-a716-446655440510,550e8400-e29b-41d4-a716-446655440410,SupportDocument,support.pdf,2027-01-20T11:00:00
